dataset,regulation,num,paragraph
Quais as modalidades de cursos de graduacao dentro da UFCG?,"Os cursos de graduação da Universidade Federal de Campina Grande conferirão graus acadêmicos de nível superior, nas modalidades bacharelado, licenciatura ou outras
que assegurem o exercício profissional. ",Art. 1,
Quem estabelece as diretrizes curriculares?,"Os cursos de graduação poderão oferecer habilitações ou ênfases, de acordo
com as diretrizes curriculares estabelecidas pelo Conselho Nacional de Educação. ",Art. 2,
Como sao organizadas as atividades academicas dos cursos de graduacao?,"Os cursos de graduação terão suas atividades acadêmicas organizadas em períodos letivos, conforme disposto no presente Regulamento e nas Resoluções dos Cursos. ",Art. 3,"§ 1º O ano letivo, independente do ano civil, terá, no mínimo, duzentos dias de trabalho acadêmico efetivo.
§ 2º As atividades acadêmicas terão duração igual a um período letivo, conforme estabelecido no currículo de cada curso, ressalvados os períodos letivos complementares."
O que visam os cursos de graduacao?,Os cursos de graduação visam à obtenção de qualificação universitária específica para o exercício profissional.,Art. 4,
Quem regulamenta a estrutura curricular de cada curso?,"A estrutura curricular de cada curso de graduação, parte integrante do projeto
pedagógico, será regulamentada pela Câmara Superior de Ensino, em conformidade com as
diretrizes curriculares estabelecidas pelo Conselho Nacional de Educação e demais Resoluções do Conselho Universitário. ",Art. 5,"Parágrafo único. A estrutura curricular de cada curso de graduação deve ser integralmente cumprida, para obtenção do respectivo grau acadêmico e do diploma."
Quais tipos de cursos podem ser criados?,"A proposta de criação de cursos, atendidos os dispositivos da legislação superior, dar-se-á com base em projeto originário de Unidade Acadêmica, e abrangerá:
I – cursos de graduação;
II – cursos sequenciais por campo de saber, de diferentes níveis de abrangência, abertos a candidatos que atendam aos requisitos estabelecidos pela Instituição. ",Art. 6,Parágrafo único. Os cursos sequenciais serão objeto de regulamentação específica. 
Projetos de criacao de cursos,"Os projetos de criação de curso deverão constar, no mínimo, dos seguintes itens:
I – justificativa da pertinência e da relevância do curso, nas dimensões acadêmico científica e social;
II – comprovação de viabilidade, sob os aspectos de:
a) adequação do curso às demandas do mundo do trabalho;
b) disponibilidade de pessoal e de recursos materiais para manutenção e desenvolvimento das atividades do curso ou programa;
c) compatibilidade dos objetivos do curso com os objetivos e finalidades da UFCG.
III – projeto pedagógico do curso, que:
a) compreenda o conjunto de ações sociopolíticas e técnico-pedagógicas relativas à
formação profissional, que se destinam a orientar a concretização curricular do referido curso.
b) atenda aos requisitos estabelecidos pela Legislação Federal e Resoluções do Conselho Universitário; ",Art. 7,
Extinção ou desativamento dos cursos mantidos pela UFCG,"Os cursos mantidos pela UFCG poderão ser extintos ou temporariamente desativados, em consonância com indicações de processo de avaliação desenvolvido pela Instituição.",Art. 8,"Parágrafo único. As possibilidades de que trata o caput deste artigo serão objeto de
deliberação, cumulativamente, no âmbito da Unidade Acadêmica, do Centro e da Câmara
Superior de Ensino."
Como posso ingressar na UFCG?,"O ingresso nos cursos de graduação da UFCG far-se-á mediante:
I – concurso vestibular;
II – transferência;
III – admissão de graduado;
IV – reingresso;
V – reopção;
VI – programas acadêmicos específicos.",Art. 9,
Os processos seletivos para admissão nos cursos de graduação serão organizados por," Os processos seletivos para admissão nos cursos de graduação serão organizados segundo critérios e normas definidas em resoluções da Câmara Superior de Ensino e 
executados pela Comissão de Processos Vestibulares – COMPROV, ou pela Pró-Reitoria de
Ensino. ",Art. 10,"§ 1º A validade do processo seletivo restringe-se ao período letivo a que esteja expressamente referido.
§ 2º Dos atos e decisões da COMPROV ou da Pró-Reitoria de Ensino caberá recurso à
Câmara Superior de Ensino, limitado, entretanto, à arguição de infringência das normas contidas no Estatuto, no Regimento Geral, no Regulamento da Graduação ou em legislação específica. "
